Tren,Estación origen,Hora programada,Retraso,Hora prevista
02173,AVE *,MÁLAGA MARÍA ZAMBRANO,19:45,3,19:48
03172,AVE *,BARCELONA-SANTS,19:45,--,19:45
08193,AVANT *,TOLEDO,19:54,--,19:54
06308,AVLO,BARCELONA-SANTS,19:55,2,19:57
02171,AVE *,SEVILLA-SANTA JUSTA,20:10,2,20:12
02371,AVE *,SEVILLA-SANTA JUSTA,20:17,21,20:38
08191,AVANT *,PUERTOLLANO,20:28,8,20:36
05191,AVE *,VALENCIA JOAQUÍN SOROLLA,20:33,--,20:33
09331,Intercity *,ALGECIRAS,20:40,20,21:00
02183,AVE *,MÁLAGA MARÍA ZAMBRANO,20:45,12,20:57
03180,AVE,BARCELONA-SANTS,20:55,7,21:02
03180,AVE,BARCELONA-SANTS,20:55,7,21:02
08203,AVANT *,TOLEDO,20:58,--,20:58
03182,AVE *,BARCELONA-SANTS,21:12,4,21:16
02181,AVE *,SEVILLA-SANTA JUSTA,21:17,--,21:17
05291,AVE,VALENCIA JOAQUÍN SOROLLA,21:26,--,21:26
02193,AVE *,MÁLAGA MARÍA ZAMBRANO,21:44,7,21:51
03192,AVE *,FIGUERES VILAFANT,21:45,1,21:46
03190,AVE,BARCELONA-SANTS,21:55,--,21:55
03190,AVE,BARCELONA-SANTS,21:55,--,21:55
08213,AVANT,TOLEDO,22:03,--,22:03
02191,AVE *,SEVILLA-SANTA JUSTA,22:17,--,22:17
02175,ALVIA,CÁDIZ,22:22,2,22:24
08211,AVANT,PUERTOLLANO,22:33,2,22:35
05903,AVE *,ORIHUELA-MIGUEL HERNÁNDEZ,22:35,1,22:36
00610,ALVIA,PAMPLONA/IRUÑA,22:59,5,23:04
02203,AVE *,ANTEQUERA-SANTA ANA,23:00,--,23:00
02197,AVE *,ANTEQUERA-SANTA ANA,23:00,--,23:00
06511,AVLO,VALENCIA JOAQUÍN SOROLLA,23:06,1,23:07
03202,AVE *,BARCELONA-SANTS,23:12,1,23:13
02211,AVE *,SEVILLA-SANTA JUSTA,23:42,--,23:42
06310,AVLO,BARCELONA-SANTS,23:45,3,23:48
03610,AVE,BARCELONA-SANTS,23:55,--,23:55
08192,AVANT *,TOLEDO,19:45,--,19:45
03201,AVE *,BARCELONA-SANTS,20:00,--,20:00
03201,AVE *,BARCELONA-SANTS,20:00,--,20:00
08200,AVANT *,PUERTOLLANO,20:15,10,20:25
05200,AVE,VALENCIA JOAQUÍN SOROLLA,20:38,--,20:38
03203,AVE *,BARCELONA-SANTS,20:40,3,20:43
08212,AVANT *,TOLEDO,20:45,2,20:47
02210,AVE *,SEVILLA-SANTA JUSTA,21:00,--,21:00
05410,AVE *,VALENCIA JOAQUÍN SOROLLA,21:10,3,21:13
03211,AVE,BARCELONA-SANTS,21:10,--,21:10
08220,AVANT *,PUERTOLLANO,22:15,--,22:15
15234,REGIONAL,SALOU - PORT AVENTURA,19:38,--,19:38
15092,MD,GIRONA,19:40,14,19:54
00694,TORRE ORO *,CÁDIZ,20:05,12,20:17
15052,REG.EXP.,LLEIDA,20:07,8,20:15
15818,REGIONAL,PORTBOU,20:10,9,20:19
15036,REG.EXP.,FLIX,20:10,16,20:26
03941,AVE *,SEVILLA-SANTA JUSTA,20:22,20,20:42
03991,AVE *,SEVILLA-SANTA JUSTA,20:22,20,20:42
34292,AVANT *,FIGUERES VILAFANT,20:30,--,20:30
06307,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:30,4,20:34
08207,AVANT,LLEIDA,20:35,--,20:35
08207,AVANT,LLEIDA,20:35,--,20:35
00264,Intercity *,CARTAGENA,20:40,19,20:59
15074,MD,FIGUERES,20:40,23,21:03
03173,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:42,6,20:48
18058,REG.EXP.,TORTOSA,21:08,14,21:22
03183,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:20,--,21:20
03191,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:30,--,21:30
34631,AVANT,MONFORTE DE LEMOS,21:35,1,21:36
00621,ALVIA *,MONFORTE DE LEMOS,21:35,1,21:36
00631,ALVIA *,MONFORTE DE LEMOS,21:35,1,21:36
34631,AVANT,MONFORTE DE LEMOS,21:35,1,21:36
15016,REG.EXP. *,ZARAGOZA-DELICIAS,21:37,23,22:00
15820,REGIONAL,PORTBOU,21:40,15,21:55
01192,EUROMED *,ALICANTE/ALACANT,22:04,18,22:22
00437,ALVIA *,CASTEJÓN DE EBRO,22:20,--,22:20
15000,MD,FIGUERES,22:20,--,22:20
03201,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:30,--,22:30
03201,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:30,--,22:30
15904,MD,PORTBOU,22:40,9,22:49
