Información consultada el 06/11/2022 a las 17:55h
Estación: Madrid-Puerta De Atocha
Tren,Estación origen,Hora programada,Retraso,Hora prevista
08153 - AVANT *,TOLEDO,15:58,--,15:58
02135 - ALVIA *,CÁDIZ,16:36,4,16:40
02143 - AVE *,MÁLAGA MARÍA ZAMBRANO,16:55,--,16:55
05149 - AVE *,CASTELLÓ,17:03,1,17:04
03142 - AVE *,BARCELONA-SANTS,17:12,--,17:12
02141 - AVE *,SEVILLA-SANTA JUSTA,17:15,--,17:15
02153 - AVE *,MÁLAGA MARÍA ZAMBRANO,17:42,1,17:43
03152 - AVE *,BARCELONA-SANTS,17:45,3,17:48
03152 - AVE *,BARCELONA-SANTS,17:45,3,17:48
06507 - AVLO,VALENCIA JOAQUÍN SOROLLA,17:55,--,17:55
08173 - AVANT *,TOLEDO,17:59,--,17:59
02151 - AVE *,SEVILLA-SANTA JUSTA,18:15,--,18:15
08171 - AVANT *,PUERTOLLANO,18:28,3,18:31
00606 - ALVIA *,PAMPLONA/IRUÑA,18:35,10,18:45
02161 - AVE *,SEVILLA-SANTA JUSTA,18:40,--,18:40
05171 - AVE *,VALENCIA JOAQUÍN SOROLLA,18:45,--,18:45
03160 - AVE *,BARCELONA-SANTS,18:55,8,19:03
03160 - AVE *,BARCELONA-SANTS,18:55,8,19:03
08183 - AVANT *,TOLEDO,18:58,--,18:58
02163 - AVE *,MÁLAGA MARÍA ZAMBRANO,19:11,38,19:49
02167 - AVE *,MÁLAGA MARÍA ZAMBRANO,19:11,38,19:49
03162 - AVE *,BARCELONA-SANTS,19:12,6,19:18
02361 - AVE *,SEVILLA-SANTA JUSTA,19:17,1,19:18
08181 - AVANT,PUERTOLLANO,19:40,--,19:40
02173 - AVE *,MÁLAGA MARÍA ZAMBRANO,19:45,8,19:53
03172 - AVE *,FIGUERES VILAFANT,19:45,5,19:50
08193 - AVANT *,TOLEDO,19:54,--,19:54
06308 - AVLO,BARCELONA-SANTS,19:55,4,19:59
05181 - AVE *,VALENCIA JOAQUÍN SOROLLA,19:57,--,19:57
02365 - ALVIA *,HUELVA,20:03,20,20:23
02171 - AVE *,SEVILLA-SANTA JUSTA,20:10,6,20:16
02371 - AVE *,SEVILLA-SANTA JUSTA,20:17,--,20:17
08191 - AVANT *,PUERTOLLANO,20:28,--,20:28
